,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,0.1,,0.15,,0.2,,0.3,,0.32,,0.4,,0.45,,0.5,,0.6,,0.7,,0.8,,Total Sum of profit,Total Sum of sales
Customer Type,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,Sum of profit,Sum of sales,,
A_ Champion,"? 32,959.38","? 1,07,194.61","? 1,020.95","? 6,023.20",? 4.11,? 323.81,"? 8,816.44","? 70,537.48","-? 1,463.52","? 13,366.50",-? 468.25,"? 2,527.32","-? 2,788.20","? 12,697.42",,,"-? 2,043.39","? 5,427.75",-? 249.16,? 270.40,"-? 1,604.70","? 2,081.75",-? 727.74,? 391.87,"? 33,455.92","? 2,20,842.11"
B_ Loyal Customer,"? 12,977.64","? 41,047.86",? 624.92,"? 4,800.68",? 76.43,"? 2,502.82","? 5,288.65","? 38,499.55",-? 28.50,? 398.97,-? 67.67,? 383.47,"-? 2,036.43","? 4,764.44",,,-? 272.58,? 649.00,-? 452.36,? 543.35,-? 106.06,? 151.58,"-? 3,811.56","? 2,241.93","? 12,192.48","? 95,983.65"
C_Potential Loyalist,"? 78,304.93","? 2,71,635.83","? 1,564.91","? 10,791.29",? 172.05,"? 6,318.08","? 21,445.40","? 1,85,025.33","-? 2,581.15","? 27,068.93",-? 308.08,"? 1,535.86","-? 7,051.48","? 30,473.69",-? 924.28,"? 2,334.59","-? 1,680.02","? 2,520.45","-? 2,045.17","? 2,047.28","-? 10,849.33","? 12,616.06","-? 11,129.57","? 6,438.69","? 64,918.21","? 5,58,806.08"
D_New Customer,"? 4,888.78","? 16,663.55",? 152.38,"? 1,306.59",? 20.04,? 425.83,"? 1,592.73","? 11,648.30",-? 82.28,"? 1,478.29",-? 11.60,? 78.85,-? 156.52,"? 1,788.51",,,-? 7.20,? 120.00,-? 66.06,? 77.72,-? 452.28,? 307.24,-? 13.62,? 8.78,"? 5,864.37","? 33,903.66"
E_At Risk Customer,"? 75,577.87","? 2,56,366.37","? 3,374.81","? 17,757.61",? 725.57,"? 10,662.24","? 21,425.82","? 1,77,462.36","-? 2,013.19","? 24,308.08",-? 519.44,"? 4,780.13","-? 4,736.60","? 20,709.94",-? 615.16,"? 1,308.72","-? 4,624.43","? 8,380.51",-? 599.14,? 759.30,"-? 7,970.60","? 7,691.53","-? 2,474.00","? 1,075.82","? 77,551.53","? 5,31,262.61"
F_Lost Customer,"? 13,324.57","? 52,870.65",? 351.18,"? 2,272.66",-? 35.08,? 925.49,"? 3,750.87","? 48,472.84",-? 401.92,"? 4,277.69",-? 267.24,"? 2,090.80","-? 2,214.07","? 11,612.57",-? 255.59,? 562.29,-? 966.89,"? 1,328.51",-? 597.36,? 674.71,"-? 2,723.49","? 3,097.17","-? 3,383.68","? 1,486.80","? 6,581.28","? 1,29,672.18"
G_Regular Shopper,"? 1,02,954.44","? 3,42,129.60","? 1,940.04","? 11,417.27",? 455.87,"? 6,400.26","? 28,017.40","? 2,32,948.42","-? 3,786.66","? 32,046.84",-? 748.86,"? 3,097.02","-? 4,073.75","? 34,371.26",-? 698.08,"? 1,279.38","-? 10,911.92","? 40,492.31","-? 1,935.41","? 2,271.92","-? 16,368.89","? 14,674.92","-? 8,998.88","? 5,319.79","? 85,845.30","? 7,26,448.99"
Grand Total,"? 3,20,987.60","? 10,87,908.47","? 9,029.18","? 54,369.30","? 1,418.99","? 27,558.53","? 90,337.31","? 7,64,594.28","-? 10,357.22","? 1,02,945.30","-? 2,391.14","? 14,493.45","-? 23,057.05","? 1,16,417.83","-? 2,493.11","? 5,484.98","-? 20,506.43","? 58,918.53","-? 5,944.66","? 6,644.68","-? 40,075.36","? 40,620.25","-? 30,539.04","? 16,963.68","? 2,86,409.08","? 22,96,919.28"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Average of profit,,,,,,,,,,,,,,,,,,,,,,,,,
0,66.90,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,96.06,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,27.29,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,24.70,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,-45.83,,,,,,,,,,,,,,,,,,,,,,,,,
0.32,-88.56,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,-111.93,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,-226.65,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,-310.70,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,-43.08,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,-95.87,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,-101.80,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,28.66,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
region,sub_cat,Sum of profit,,,,,,,,,,,,,,,,,,,,,,,,
Central,Accessories,7251.6306,,,,,,,,,,,,,,,,,,,,,,,,
,Appliances,-2638.6175,,,,,,,,,,,,,,,,,,,,,,,,
,Art,1195.1591,,,,,,,,,,,,,,,,,,,,,,,,
,Binders,-1043.6369,,,,,,,,,,,,,,,,,,,,,,,,
,Bookcases,-1997.9043,,,,,,,,,,,,,,,,,,,,,,,,
,Chairs,6592.7221,,,,,,,,,,,,,,,,,,,,,,,,
,Copiers,15608.8413,,,,,,,,,,,,,,,,,,,,,,,,
,Envelopes,1777.5283,,,,,,,,,,,,,,,,,,,,,,,,
,Fasteners,236.6186,,,,,,,,,,,,,,,,,,,,,,,,
,Furnishings,-3906.2168,,,,,,,,,,,,,,,,,,,,,,,,
,Labels,1073.0794,,,,,,,,,,,,,,,,,,,,,,,,
,Machines,-1486.0666,,,,,,,,,,,,,,,,,,,,,,,,
,Paper,6971.9005,,,,,,,,,,,,,,,,,,,,,,,,
,Phones,12323.0267,,,,,,,,,,,,,,,,,,,,,,,,
,Storage,1969.8365,,,,,,,,,,,,,,,,,,,,,,,,
,Supplies,-661.8881,,,,,,,,,,,,,,,,,,,,,,,,
,Tables,-3559.6504,,,,,,,,,,,,,,,,,,,,,,,,
South,Accessories,7004.5424,,,,,,,,,,,,,,,,,,,,,,,,
,Appliances,4123.9396,,,,,,,,,,,,,,,,,,,,,,,,
,Art,1058.5866,,,,,,,,,,,,,,,,,,,,,,,,
,Binders,3900.664,,,,,,,,,,,,,,,,,,,,,,,,
,Bookcases,1339.4918,,,,,,,,,,,,,,,,,,,,,,,,
,Chairs,6612.0893,,,,,,,,,,,,,,,,,,,,,,,,
,Copiers,3658.9067,,,,,,,,,,,,,,,,,,,,,,,,
,Envelopes,1465.477,,,,,,,,,,,,,,,,,,,,,,,,
,Fasteners,173.7181,,,,,,,,,,,,,,,,,,,,,,,,
,Furnishings,3442.6829,,,,,,,,,,,,,,,,,,,,,,,,
,Labels,1040.7723,,,,,,,,,,,,,,,,,,,,,,,,
,Machines,-1438.893,,,,,,,,,,,,,,,,,,,,,,,,
,Paper,5947.0614,,,,,,,,,,,,,,,,,,,,,,,,
,Phones,10767.2753,,,,,,,,,,,,,,,,,,,,,,,,
,Storage,2274.2965,,,,,,,,,,,,,,,,,,,,,,,,
,Supplies,1.8773,,,,,,,,,,,,,,,,,,,,,,,,
,Tables,-4623.0579,,,,,,,,,,,,,,,,,,,,,,,,
East,Accessories,11195.8644,,,,,,,,,,,,,,,,,,,,,,,,
,Appliances,8391.4134,,,,,,,,,,,,,,,,,,,,,,,,
,Art,1899.9443,,,,,,,,,,,,,,,,,,,,,,,,
,Binders,11267.9346,,,,,,,,,,,,,,,,,,,,,,,,
,Bookcases,-1167.6318,,,,,,,,,,,,,,,,,,,,,,,,
,Chairs,9369.8294,,,,,,,,,,,,,,,,,,,,,,,,
,Copiers,17022.8418,,,,,,,,,,,,,,,,,,,,,,,,
,Envelopes,1812.409,,,,,,,,,,,,,,,,,,,,,,,,
,Fasteners,263.9908,,,,,,,,,,,,,,,,,,,,,,,,
,Furnishings,5881.4071,,,,,,,,,,,,,,,,,,,,,,,,
,Labels,1129.28,,,,,,,,,,,,,,,,,,,,,,,,
,Machines,6928.6429,,,,,,,,,,,,,,,,,,,,,,,,
,Paper,9015.371,,,,,,,,,,,,,,,,,,,,,,,,
,Phones,12314.686,,,,,,,,,,,,,,,,,,,,,,,,
,Storage,8389.3712,,,,,,,,,,,,,,,,,,,,,,,,
,Supplies,-1155.1352,,,,,,,,,,,,,,,,,,,,,,,,
,Tables,-11025.3801,,,,,,,,,,,,,,,,,,,,,,,,
West,Accessories,16484.5983,,,,,,,,,,,,,,,,,,,,,,,,
,Appliances,8261.2699,,,,,,,,,,,,,,,,,,,,,,,,
,Art,2374.097,,,,,,,,,,,,,,,,,,,,,,,,
,Binders,16096.8016,,,,,,,,,,,,,,,,,,,,,,,,
,Bookcases,-1646.5117,,,,,,,,,,,,,,,,,,,,,,,,
,Chairs,4027.5843,,,,,,,,,,,,,,,,,,,,,,,,
,Copiers,19327.2351,,,,,,,,,,,,,,,,,,,,,,,,
,Envelopes,1908.7624,,,,,,,,,,,,,,,,,,,,,,,,
,Fasteners,275.1907,,,,,,,,,,,,,,,,,,,,,,,,
,Furnishings,7641.2704,,,,,,,,,,,,,,,,,,,,,,,,
,Labels,2303.1223,,,,,,,,,,,,,,,,,,,,,,,,
,Machines,-618.9264,,,,,,,,,,,,,,,,,,,,,,,,
,Paper,12119.2364,,,,,,,,,,,,,,,,,,,,,,,,
,Phones,9110.7426,,,,,,,,,,,,,,,,,,,,,,,,
,Storage,8645.3222,,,,,,,,,,,,,,,,,,,,,,,,
,Supplies,626.0465,,,,,,,,,,,,,,,,,,,,,,,,
,Tables,1482.6073,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,286409.0805,,,,,,,,,,,,,,,,,,,,,,,,
